cart_id,total
#e0a743,$0.00
#b57db1,$0.00
#309d05,$0.00
#68b10f,$0.00
#1bed1c,$0.00
#363bde,$0.00
#4e4379,$0.00
#617789,$0.00
#fd164f,$0.00
#566415,$0.00
#b94730,$0.00
#3495b5,$0.00
#789689,$0.00
#0cb988,$0.00
#0f926f,$0.00
#44505e,$0.00
#c5af15,$0.00
#92af16,$0.00
#e1f946,$0.00
#5b1c4d,$0.00
#a84e2b,$0.00
#36b412,$0.00
#ecd284,$0.00
#a66585,$0.00
#0eb6ba,$0.00
#a7021d,$0.00
#94fa60,$0.00
#97f38c,$0.00
#880ed4,$0.00
#bab903,$0.00
#629ccb,$0.00
#d9b7ce,$0.00
#cc4529,$0.00
#89986c,$0.00
#0f66fb,$0.00
#c054ed,$0.00
#ebf475,$0.00
#b23f6a,$0.00
#d199f5,$0.00
#3a725c,$0.00
#68d06f,$0.00
#07d226,$0.00
#eb63c6,$0.00
#328446,$0.00
#6186e5,$0.00
#190ab2,$0.00
#1615e1,$0.00
#4cadf9,$0.00
#cf350c,$0.00
#9676c3,$0.00
#ca5d89,$0.00
#5dac50,$0.00
#17866b,$0.00
#79cd97,$0.00
#28d15f,$0.00
#7b5f4e,$0.00
#b4892b,$0.00
#c62bad,$0.00
#2e58d9,$0.00
#c2fe42,$0.00
#33fc62,$0.00
#f0a2ef,$0.00
#dca32c,$0.00
#b35e56,$0.00
#b18c0f,$0.00
#6d43b4,$0.00
#6cd324,$0.00
#356798,$0.00
#ef7c38,$0.00
#bf0e93,$0.00
#3e252f,$0.00
#d05ac2,$0.00
#ade714,$0.00
#dc3de4,$0.00
#0fb217,$0.00
#50c069,$0.00
#9e91e5,$0.00
#c64fda,$0.00
#706a9c,$0.00
#8b1208,$0.00
#0c3195,$0.00
#19372a,$0.00
#d6140f,$0.00
#534a1b,$0.00
#e44d68,$0.00
#f61bac,$0.00
#ff264f,$0.00
#67fd37,$0.00
#6428de,$0.00
#cf7c67,$0.00
#e2794e,$0.00
#54fb98,$0.00
#f08895,$0.00
#569317,$0.00
#795853,$0.00
#e0e477,$0.00
#3a0e87,$0.00
#24359e,$0.00
#fb937d,$0.00
#a6ab0a,$0.00
#e4b8a9,$0.00
#72941a,$0.00
#ecc580,$0.00
#825b29,$0.00
#6ea79b,$0.00
#d3e938,$0.00
#7d4309,$0.00
#d2c599,$0.00
#8061e0,$0.00
#13a148,$0.00
#7cc379,$0.00
#95a959,$0.00
#041274,$0.00
#24892a,$0.00
#08cc3e,$0.00
