cart_item_id,quantity,purchased,order_date,status,item_id,cart_id,address_id
#1b0145,1,1,1/22/2021,delivered,1,#e0a743,1
#20a134,1,1,3/4/2021,delivered,2,#b57db1,2
#b51ca3,1,1,1/26/2021,delivered,3,#309d05,3
#7fbd88,1,1,4/12/2021,delivered,4,#68b10f,4
#05a9ae,1,1,1/15/2021,delivered,5,#1bed1c,5
#175d7f,1,1,4/5/2021,delivered,6,#363bde,6
#412a8f,1,1,2/7/2021,delivered,7,#4e4379,7
#bc1cdd,1,1,4/6/2021,delivered,8,#617789,8
#1b1ea7,1,1,1/17/2021,delivered,9,#fd164f,9
#9748de,2,1,4/13/2021,delivered,10,#566415,10
#0da038,2,1,1/26/2021,delivered,11,#b94730,11
#e976f0,2,1,2/28/2021,delivered,12,#3495b5,12
#87b03e,2,1,1/14/2021,delivered,13,#789689,13
#849b90,2,1,4/2/2021,delivered,14,#0cb988,14
#e34e9f,2,1,1/19/2021,delivered,15,#0f926f,15
#4ddf7d,2,1,3/17/2021,delivered,16,#44505e,16
#f509d0,2,1,3/20/2021,delivered,17,#c5af15,17
#021285,2,1,3/12/2021,delivered,18,#92af16,18
#954267,3,1,,delivered,19,#e1f946,19
#c1f415,3,1,2/11/2021,delivered,20,#5b1c4d,20
#3f2970,3,1,4/5/2021,delivered,21,#a84e2b,21
#34a133,3,1,3/28/2021,pending,22,#36b412,22
#70c529,3,1,3/12/2021,pending,23,#ecd284,23
#85b3e9,3,1,,pending,24,#a66585,24
#f6c34d,3,1,2/23/2021,pending,25,#0eb6ba,25
#1a3bce,3,1,2/8/2021,pending,26,#a7021d,26
#23ca79,3,1,2/5/2021,pending,27,#94fa60,27
#7b9052,3,1,3/2/2021,pending,28,#97f38c,28
#0ea93e,3,1,1/19/2021,pending,29,#880ed4,29
#6bb423,3,1,2/12/2021,pending,30,#bab903,30
#107686,3,1,3/26/2021,pending,31,#629ccb,31
#c15f23,3,1,3/31/2021,pending,32,#d9b7ce,32
#f658fc,3,1,2/25/2021,pending,33,#cc4529,33
#09ee07,3,1,3/10/2021,pending,34,#89986c,34
#e63fcb,5,1,4/1/2021,pending,35,#0f66fb,35
#219b2a,5,1,2/16/2021,pending,36,#c054ed,36
#59e818,5,1,1/4/2021,pending,37,#ebf475,37
#580a11,5,1,1/6/2021,pending,38,#b23f6a,38
#6c6116,5,1,2/16/2021,pending,39,#d199f5,39
#3bb7bf,5,1,4/14/2021,pending,40,#3a725c,40
#2d715b,5,1,3/27/2021,pending,41,#68d06f,41
#20775c,5,1,4/2/2021,pending,42,#07d226,42
#84818c,5,1,2/1/2021,pending,43,#eb63c6,43
#dd50cc,5,1,4/13/2021,pending,44,#328446,44
#08ba42,5,1,4/6/2021,pending,45,#6186e5,45
#32cfa7,5,1,4/13/2021,pending,46,#190ab2,46
#bfeb27,5,1,1/4/2021,pending,47,#1615e1,47
#aec011,5,1,2/1/2021,pending,48,#4cadf9,48
#8e0f76,5,1,3/3/2021,pending,49,#cf350c,49
#7c3de2,5,1,4/7/2021,pending,50,#9676c3,50
#486b93,6,1,2/11/2021,pending,51,#ca5d89,51
#a94918,6,1,2/12/2021,pending,52,#5dac50,52
#7dfbdd,6,1,2/8/2021,pending,53,#17866b,53
#ef68a2,6,1,1/8/2021,pending,54,#79cd97,54
#b01f56,6,1,4/12/2021,pending,55,#28d15f,55
#57ad63,6,1,,pending,56,#7b5f4e,56
#54a25c,6,1,,pending,57,#b4892b,57
#9f3210,6,1,1/12/2021,processed,58,#c62bad,58
#3343a7,6,1,2/20/2021,processed,59,#2e58d9,59
#00d146,6,1,1/6/2021,processed,60,#c2fe42,60
#3a7c1b,6,1,3/9/2021,processed,61,#33fc62,61
#7aa838,6,1,4/2/2021,processed,62,#f0a2ef,62
#bbf633,6,1,4/10/2021,processed,63,#dca32c,63
#0f6ccb,6,1,3/6/2021,processed,64,#b35e56,64
#2fa6fe,6,1,1/3/2021,processed,65,#b18c0f,65
#441d4f,6,1,4/2/2021,processed,66,#6d43b4,66
#7604c4,6,1,1/23/2021,processed,67,#6cd324,67
#a1a0d7,6,1,2/18/2021,processed,68,#356798,68
#e39dcc,6,1,3/26/2021,processed,69,#ef7c38,69
#e32ca2,6,1,2/1/2021,processed,70,#bf0e93,70
#d8079b,7,1,3/22/2021,processed,71,#3e252f,71
#eb8502,7,1,1/31/2021,processed,72,#d05ac2,72
#e4b725,7,1,2/22/2021,processed,73,#ade714,73
#3edde3,7,1,1/5/2021,processed,74,#dc3de4,74
#3ed627,7,1,3/16/2021,processed,75,#0fb217,75
#2ba826,7,1,4/9/2021,processed,76,#50c069,76
#064d9d,7,1,2/8/2021,processed,77,#9e91e5,77
#5d3b1f,7,1,2/15/2021,processed,78,#c64fda,78
#83d594,7,1,3/31/2021,processed,79,#706a9c,79
#e180d3,7,1,4/9/2021,processed,80,#8b1208,80
#a93ef9,7,1,3/23/2021,shipped,81,#0c3195,81
#2e8e0b,7,1,2/22/2021,shipped,82,#19372a,82
#0ba5b1,7,1,3/8/2021,shipped,83,#d6140f,83
#324282,1,1,3/16/2021,shipped,84,#534a1b,84
#94e126,1,1,3/1/2021,shipped,85,#e44d68,85
#82ab95,1,1,3/25/2021,shipped,86,#f61bac,86
#44e78c,1,1,1/25/2021,shipped,87,#ff264f,87
#89fee6,1,1,1/2/2021,shipped,88,#67fd37,88
#88a930,1,1,3/27/2021,shipped,89,#6428de,89
#94e9bd,1,1,3/24/2021,shipped,90,#cf7c67,90
#300291,1,1,3/31/2021,shipped,91,#e2794e,91
#8bd837,1,1,3/17/2021,shipped,92,#54fb98,92
#c4820e,1,1,2/21/2021,shipped,93,#f08895,93
#ccca34,1,1,2/13/2021,shipped,94,#569317,94
#d33baa,1,1,1/24/2021,shipped,95,#795853,95
#631f4f,3,1,3/24/2021,shipped,96,#e0e477,96
#33f430,3,1,1/4/2021,shipped,97,#3a0e87,97
#d91a46,3,1,2/28/2021,shipped,98,#24359e,98
#8bcc6a,3,1,1/3/2021,shipped,99,#fb937d,99
#fb3660,3,1,1/19/2021,shipped,100,#a6ab0a,100
#a60911,5,1,1/25/2021,delivered,101,#a6ab0a,100
#53fc39,5,1,1/1/2021,delivered,102,#a6ab0a,100
#c58091,5,1,4/6/2021,delivered,103,#a6ab0a,100
#56ea81,5,1,2/2/2021,delivered,104,#a6ab0a,100
#b2b266,5,1,3/29/2021,delivered,105,#54fb98,92
#44e2c3,5,1,,delivered,106,#54fb99,92
#767c43,5,1,1/10/2021,delivered,107,#54fb100,92
#e406aa,5,1,,delivered,108,#54fb101,92
