id,customer_id,cart_id
1,58607-112,#e0a743
2,52125-936,#b57db1
3,11822-3025,#309d05
4,51655-865,#68b10f
5,55648-775,#1bed1c
6,68462-468,#363bde
7,36987-2942,#4e4379
8,43547-337,#617789
9,61786-038,#fd164f
10,52919-123,#566415
11,59779-047,#b94730
12,47219-203,#3495b5
13,34605-5001,#789689
14,55154-5680,#0cb988
15,76499-002,#0f926f
16,68788-9664,#44505e
17,31190-210,#c5af15
18,0363-0125,#92af16
19,43269-764,#e1f946
20,40104-352,#5b1c4d
21,44911-0054,#a84e2b
22,67046-135,#36b412
23,33261-793,#ecd284
24,65862-071,#a66585
25,61328-001,#0eb6ba
26,55648-926,#a7021d
27,68762-107,#94fa60
28,0268-0164,#97f38c
29,0172-5729,#880ed4
30,50309-777,#bab903
31,0469-0125,#629ccb
32,51079-947,#d9b7ce
33,31645-166,#cc4529
34,49643-447,#89986c
35,50845-0084,#0f66fb
36,47993-200,#c054ed
37,15127-001,#ebf475
38,58394-004,#b23f6a
39,0942-6321,#d199f5
40,25021-137,#3a725c
41,30142-111,#68d06f
42,0944-2510,#07d226
43,53389-110,#eb63c6
44,15127-318,#328446
45,49967-882,#6186e5
46,0904-2970,#190ab2
47,60512-6188,#1615e1
48,23155-102,#4cadf9
49,49643-323,#cf350c
50,65044-2317,#9676c3
51,76439-329,#ca5d89
52,54569-0355,#5dac50
53,0527-1905,#17866b
54,57344-171,#79cd97
55,55154-4764,#28d15f
56,12546-313,#7b5f4e
57,55379-405,#b4892b
58,49035-227,#c62bad
59,55154-9403,#2e58d9
60,62756-440,#c2fe42
61,42291-885,#33fc62
62,0527-1382,#f0a2ef
63,55154-2660,#dca32c
64,49938-102,#b35e56
65,0904-5859,#b18c0f
66,68788-0013,#6d43b4
67,76237-314,#6cd324
68,63323-297,#356798
69,33261-658,#ef7c38
70,57520-1029,#bf0e93
71,37205-874,#3e252f
72,55154-0455,#d05ac2
73,55301-018,#ade714
74,42627-207,#dc3de4
75,67777-231,#0fb217
76,49288-0724,#50c069
77,54868-5420,#9e91e5
78,66184-151,#c64fda
79,59779-262,#706a9c
80,60793-217,#8b1208
81,52125-668,#0c3195
82,11673-373,#19372a
83,35356-604,#d6140f
84,35356-690,#534a1b
85,67773-001,#e44d68
86,10544-592,#f61bac
87,67253-381,#ff264f
88,0378-2675,#67fd37
89,42291-343,#6428de
90,64942-1258,#cf7c67
91,64117-966,#e2794e
92,41167-0470,#54fb98
93,68987-012,#f08895
94,65517-0006,#569317
95,68703-083,#795853
96,0536-3755,#e0e477
97,68016-081,#3a0e87
98,16477-820,#24359e
99,0409-2344,#fb937d
100,58876-101,#a6ab0a
101,0115-2122,#e4b8a9
102,61589-6507,#72941a
103,60681-1305,#ecc580
104,43419-024,#825b29
105,62584-693,#6ea79b
106,58914-112,#d3e938
107,53329-827,#7d4309
108,55154-5516,#d2c599
109,58118-0211,#8061e0
110,68151-0985,#13a148
111,59538-004,#7cc379
112,16252-599,#95a959
113,54868-6207,#041274
114,54868-0113,#24892a
115,51079-209,#08cc3e
116,46287-010,#1e05bd
117,67046-675,#9c6d08
118,36987-1057,#69e69f
119,13533-692,#29d44f
120,61715-082,#06a63c
121,43742-0249,#939d70
122,13537-055,#128253
123,53185-005,#e2627e
124,51672-1352,#75dd3d
125,63868-125,#d21973
126,49035-891,#5c09bd
127,10819-5802,#49647a
128,55154-1133,#828d02
129,36987-2941,#ed76c5
130,45802-026,#1a2c5b
131,0378-3012,#03467b
132,49967-779,#c22b4c
133,68180-557,#d366dc
134,0615-7541,#37a92a
135,49738-426,#74af38
136,68645-220,#bcc142
137,49527-112,#77e309
138,54575-197,#37cf9f
139,16714-401,#929d73
140,66414-001,#027e99
141,52567-001,#0fdcaf
142,24385-499,#2c21d8
143,70253-660,#591a02
144,43353-336,#e8dfd8
145,49371-047,#ba8a08
146,47593-359,#3ea82c
147,47781-108,#3c2c95
148,49230-194,#d75124
149,60505-0006,#316756
150,0409-0807,#e06694
151,43063-353,#199f72
152,45861-017,#c3eb86
153,0187-5466,#a2e056
154,0409-7332,#711649
155,0338-1055,#b2dbd1
156,65862-119,#3a3523
157,44911-0031,#f598ff
158,66949-112,#f7d694
159,0143-1773,#c2e22b
160,24208-358,#d68913
161,11917-023,#4dc874
162,52810-204,#8e48ae
163,35356-254,#ad7189
164,53270-3120,#1f3b99
165,37012-580,#e430e5
166,0031-2235,#a09b15
167,52533-214,#4b6739
168,55648-694,#4af96c
169,34645-7008,#1027ef
170,55154-6925,#9ef11f
171,58194-014,#361980
172,36987-2052,#9f9320
173,62187-0001,#6f40ec
